date,annualPretaxIncome,annualNetIncome,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,annualPurchaseOfInvestment,annualAccountsReceivable,annualLongTermDebt,annualGoodwill,annualSaleOfInvestment,annualIncomeTaxPayable,annualStockholdersEquity,annualOtherNonCashItems,annualDilutedAverageShares,annualInvestingCashFlow,annualOperatingIncome,annualRetainedEarnings,annualTotalAssets,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualNetPPE,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,annualChangeInAccountPayable,annualCurrentLiabilities,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualCommonStockIssuance,annualBasicAverageShares,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,annualOtherNonCurrentLiabilities,annualEbitda,annualOtherNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualInterestExpense,annualChangesInAccountReceivables,annualBeginningCashPosition,annualCurrentAssets,annualGrossPPE,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualBasicEPS,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,annualRepaymentOfDebt,annualOtherIncomeExpense,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualCurrentAccruedExpenses,annualTaxProvision,annualCurrentDebt,annualInventory,annualCapitalStock,annualCurrentDeferredRevenue,annualCostOfRevenue,annualOtherCurrentAssets,annualTotalRevenue,annualResearchAndDevelopment,annualTotalNonCurrentAssets,annualGrossProfit,annualFreeCashFlow,annualStockBasedCompensation,annualNetOtherFinancingCharges,annualDilutedEPS,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualChangeInWorkingCapital,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualChangeInInventory
2009-12-31,808651000,703950000,-149846000.0,38574000.0,-777072000.0,874110000.0,,,285970000.0,22846000.0,2836447000,67471000.0,201161000,-547869000,786010000,2816607000,3825874000,96486000,-161243000,1091581000,441338000,1094456000,305759000,203388000,38875000.0,683668000,19583000.0,221656000.0,7495000.0,200395000,748511000.0,-20258000.0,1267000,882496000,0,-13382000,0.0,1091581000,1111164000,0.0,-131978000.0,696335000,2393871000,640309000,-25096000,703950000,3.51,419723000,-198971000,0.0,2741000,0.0,395246000,-56772000,384288000.0,104701000,,309938000,1001000,27910000.0,1502329000,0.0,2946440000,238378000,1432003000,1444111000,1037684000,43616000.0,0.0,3.5,0.0,703950000,210784000,658101000,265918000.0,989427000,61189000
2010-12-31,577272000,584603000,-298853000.0,108076000.0,-694038000.0,747249000.0,,,668495000.0,56028000.0,3049562000,64047000.0,198009000,-72869000,636676000,1264613000,3988688000,94651000,-510821000,1260936000,427805000,770637000,270089000,132348000,-81354000.0,669037000,24418000.0,185152000.0,0.0,196979000,777401000.0,-225928000.0,155027000,673169000,25962000,56004000,770000.0,1260936000,1285354000,1246000.0,129698000.0,1091581000,2498755000,677709000,-471000,584603000,2.97,432437000,-249904000,,-83137000,0.0,169355000,-35976000,336862000.0,-7331000,,387577000,1797435000,89711000.0,1343537000,0.0,2689911000,277261000,1489933000,1346374000,734661000,40332000.0,4495000.0,2.95,-12120000.0,584603000,-14601000,709698000,6986000.0,939126000,-77122000
2011-12-31,584161000,520896000,-310763000.0,188132000.0,-1172555000.0,607450000.0,,,779213000.0,77784000.0,3256581000,555526000.0,194894000,-488198000,553767000,1413582000,4471338000,94535000,-307413000,1287160000,417105000,822334000,356478000,164010000,-26329000.0,858279000,124639000.0,252163000.0,22337000.0,194105000,1083516000.0,-22300000.0,1491000,648302000,771000,87193000,506000.0,1287160000,1411799000,0.0,169543000.0,1260936000,2569770000,711368000,-42475000,520896000,2.68,486241000,-294263000,,-2418000,0.0,26224000,-41172000,297887000.0,63265000,,397741000,1797435000,188987000.0,1419977000,0.0,2758569000,298584000,1901568000,1338592000,781162000,40212000.0,3313000.0,2.67,-54190000.0,520896000,178733000,784825000,4951000.0,1214757000,-6385000
2012-12-31,624528000,542403000,-253386000.0,193047000.0,-1429593000.0,603673000.0,,176059000.0,985598000.0,32031000.0,3531796000,29274000.0,196213000,-496228000,604160000,1604625000,4819124000,90467000,-249849000,1231180000,409751000,684745000,378302000,131263000,-38929000.0,909026000,153083000.0,56538000.0,22798000.0,194909000,1488312000.0,-18745000.0,1034000,694627000,16065000,138554000,-65000.0,1231180000,1384263000,0.0,9077000.0,1287160000,2536120000,759738000,-32080000,542403000,2.78,508547000,-349987000,,-14740000,0.0,-55980000,-45228000,261124000.0,82125000,,389931000,1797435000,252375000.0,1277195000,0.0,2715675000,325773000,2283004000,1438480000,639517000,29274000.0,-516000.0,2.76,-7697000.0,542403000,2305000,834320000,2467000.0,1287328000,3997000
2013-12-31,653558000,612412000,-351707000.0,171012000.0,-909151000.0,564586000.0,,179290000.0,833491000.0,38043000.0,3659706000,22592000.0,196339000,-274442000,574032000,1865587000,4879603000,78804000,-406838000,1179149000,414848000,630084000,314593000,146582000,18043000.0,905304000,149862000.0,40204000.0,22770000.0,195411000,1502106000.0,-58422000.0,890000,652836000,18038000,38041000,-136782000.0,1179149000,1329011000,,38589000.0,1231180000,2595636000,796280000,7931000,612412000,3.13,468345000,-381432000,,44255000,0.0,-52031000,-57205000,227313000.0,41146000,,382226000,1797435000,256908000.0,1224551000,57368000.0,2631851000,364923000,2283967000,1407300000,572879000,22592000.0,4584000.0,3.12,-5680000.0,612412000,-67378000,833268000,1758000.0,1219897000,-17593000
2014-12-31,723745000,364211000,-360075000.0,135130000.0,-1006482000.0,570191000.0,,178638000.0,1096676000.0,182260000.0,3403367000,24293000.0,194165000,131332000,690626000,1859972000,4693303000,77015000,-599622000,1196268000,430887000,522711000,256675000,149094000,8981000.0,1033261000,167989000.0,39445000.0,20753000.0,193106000,1407344000.0,-241578000.0,1437000,767641000,22161000,2571000,137320000.0,1196268000,1364257000,,-27398000.0,1179149000,2510976000,859596000,89828000,364211000,1.89,518665000,-428709000,,-2465000,0.0,17119000,-78059000,232546000.0,359534000,,420475000,1797435000,203598000.0,1266246000,51336000.0,2870658000,395121000,2182327000,1604412000,444652000,24293000.0,-84000.0,1.88,-18871000.0,364211000,-58367000,913786000,39497000.0,1289936000,-76491000
2015-12-31,567187000,456227000,-378117000.0,128731000.0,-915921000.0,531481000.0,,187791000.0,919141000.0,21674000.0,3345126000,26290000.0,191107000,-111979000,549581000,1930517000,4499391000,78360000,-500092000,833070000,446089000,280467000,288267000,178905000,36079000.0,865998000,215161000.0,57761000.0,17073000.0,190631000,1343387000.0,-131413000.0,1637000,627941000,97989000,-30428000,48000.0,833070000,1048231000,,22473000.0,1196268000,2211087000,908649000,5897000,456227000,2.39,562080000,-462560000,,-12047000,0.0,-363198000,-84481000,236845000.0,110960000,,500554000,1797435000,164982000.0,1281566000,0.0,2820270000,427043000,2288304000,1538704000,195986000,26290000.0,-2049000.0,2.39,-38687000.0,456227000,-344721000,989123000,56210000.0,1154265000,-121718000
2016-12-31,629670000,510814000,-481452000.0,140407000.0,-905089000.0,527062000.0,,224553000.0,957350000.0,16163000.0,3418003000,41250000.0,189343000,-121537000,623909000,2056702000,4525133000,86340000,-561676000,846883000,482878000,705682000,324395000,172404000,-11496000.0,782735000,266952000.0,80449000.0,18648000.0,188818000,1213285000.0,-93233000.0,1594000,710249000,94508000,-36761000,146000.0,846883000,1113835000,,9000000.0,833070000,2263016000,979859000,1699000,510814000,2.71,587701000,-496981000,,-27645000,0.0,13813000,-96675000,262618000.0,118856000,,484821000,17979000,146564000.0,1339095000,47395000.0,3018665000,467960000,2262117000,1679570000,609007000,41250000.0,1692000.0,2.7,-77945000.0,510814000,22923000,1055661000,61220000.0,1107130000,-2455000
2017-12-31,682294000,694955000,-382976000.0,163840000.0,-587656000.0,590882000.0,,286982000.0,635311000.0,33638000.0,3802466000,,188732000,-194536000,668860000,2368874000,5010260000,86252000,-448412000,891488000,595684000,660842000,379138000,169640000,-17240000.0,828656000,161687000.0,122819000.0,21860000.0,187828000,1260033000.0,-74523000.0,1788000,755112000,107623000,56045000,-153000.0,891488000,1053175000,,-40088000.0,846883000,2363925000,1162157000,-90725000,694955000,3.7,602670000,-566473000,,-23491000,0.0,44605000,-151928000,286920000.0,-12661000,,517644000,17979000,139681000.0,1303840000,48312000.0,3087004000,511634000,2646335000,1783164000,508914000,44735000.0,,3.68,-90471000.0,694955000,-128264000,1114304000,75215000.0,1207794000,-38575000
2018-12-31,823247000,694080000,-296148000.0,76566000.0,-403181000.0,569833000.0,,301017000.0,283603000.0,51642000.0,4162974000,,189734000,-307503000,778343000,2710619000,5382858000,96194000,-286161000,1201805000,663527000,919520000,298571000,204985000,40628000.0,921313000,182989000.0,116063000.0,,188635000,1330123000.0,0.0,1850000,874537000,100328000,8430000,,1201732000,1384721000,,5167000.0,891759000,2665368000,1273494000,38978000,694080000,3.68,633571000,-609967000,,-2243000,,310046000,-160355000,254744000.0,129167000,,561840000,17979000,96372000.0,1367725000,,3347444000,567805000,2717490000,1979719000,759165000,56391000.0,,3.66,-29170000.0,694080000,-6963000,1201376000,92944000.0,1219884000,-82316000
