date,annualEndCashPosition,annualCurrentDebt,annualOtherCurrentAssets,annualCurrentDeferredRevenue,annualCostOfRevenue,annualTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,annualAccountsPayable,annualChangeInAccountPayable,annualOtherShortTermInvestments,annualFreeCashFlow,annualCommonStockIssuance,annualNetOtherFinancingCharges,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualOperatingExpense,annualNetIncomeContinuousOperations,annualChangeInWorkingCapital,annualDilutedAverageShares,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualCashDividendsPaid,annualLongTermDebt,annualBeginningCashPosition,annualAccountsReceivable,annualCurrentAssets,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualSaleOfInvestment,annualStockholdersEquity,annualBasicAverageShares,annualOtherNonCashItems,annualRetainedEarnings,annualCurrentAccruedExpenses,annualTotalAssets,annualTaxProvision,annualDepreciationAndAmortization,annualCapitalStock,annualTotalNonCurrentAssets,annualNetPPE,annualBasicEPS,annualGrossProfit,annualOperatingCashFlow,annualCurrentLiabilities,annualStockBasedCompensation,annualInventory,annualOtherIntangibleAssets,annualPurchaseOfBusiness,annualEbitda,annualOtherNonCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualPretaxIncome,annualNonCurrentDeferredRevenue,annualChangesInAccountReceivables,annualInterestExpense,annualDeferredIncomeTax,annualGrossPPE,annualAccumulatedDepreciation,annualGoodwill,annualIncomeTaxPayable,annualDilutedEPS,annualRepaymentOfDebt,annualOtherIncomeExpense,annualInvestingCashFlow,annualOtherCurrentLiabilities,annualOperatingIncome,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualCashFlowFromContinuingFinancingActivities,annualPurchaseOfInvestment
1989-12-31,0,11100000.0,17800000,,376500000,553700000,42500000,,31900000.0,,,5500000,,0.0,-1200000.0,,146200000,27000000,-12600000.0,64285714,,-2900000.0,24100000,129200000,27000000,-9500000.0,17400000,32300000,,203000000,27000000,29400000,124500000,,208700000,64285714,-700000.0,240900000,,337900000,16500000,21700000.0,,134900000,100900000,0.42,177200000,25100000,86700000,,67500000,4600000,,52700000,25100000,24100000,,-11000000.0,43500000,,,2400000,,256200000,-155300000,,,0.42,,14900000,-21400000,43700000.0,31000000,-8200000.0,-19600000.0,-11900000.0,
1990-12-31,0,5600000.0,16000000,,429500000,621100000,74500000,,31000000.0,,,32900000,,0.0,-14300000.0,,154000000,22700000,11500000.0,63055556,,-40500000.0,17600000,166500000,22700000,-9700000.0,44500000,24100000,,212800000,22700000,14600000,131000000,,207500000,63055556,-1600000.0,253900000,,374000000,13900000,23000000.0,,161200000,123500000,0.36,191600000,53900000,92000000,,79100000,23100000,,60600000,30000000,17600000,,-2000000.0,36600000,,,3300000,,296700000,-173200000,,,0.36,,2500000,-58000000,55400000.0,37600000,-6500000.0,-21000000.0,-2400000.0,
1991-12-31,0,1400000.0,54300000,,351300000,500800000,83500000,,24400000.0,,,31600000,,-3100000.0,-800000.0,,134800000,6600000,7000000.0,62222222,,-24300000.0,14400000,165600000,-8400000,-9600000.0,48600000,17600000,,197500000,-8400000,22700000,115400000,,190100000,62222222,-100000.0,235900000,,355700000,4000000,19400000.0,,158200000,125000000,-0.135,149500000,51300000,82100000,,53400000,10500000,,34100000,34900000,14400000,,3300000.0,10600000,,,4400000,-16000000.0,280400000,-155400000,,,-0.135,,300000,-44000000,56300000.0,14700000,-3200000.0,-19700000.0,-10500000.0,
1992-12-31,0,100000.0,24800000,,370400000,528100000,104200000,,19200000.0,,,29900000,,100000.0,-1000000.0,,116400000,24200000,1200000.0,60987654,,33900000.0,90600000,179300000,24700000,-10100000.0,69100000,14400000,,237200000,24700000,14300000,97600000,,204200000,60987654,100000.0,249500000,,383500000,15500000,18800000.0,,146300000,122100000,0.405,157700000,49800000,75100000,,50000000,9900000,,60100000,35100000,90600000,,2300000.0,39700000,,,5200000,6900000.0,283000000,-160900000,,,0.405,,3600000,18300000,55800000.0,41300000,76200000.0,-19900000.0,8100000.0,
1993-12-31,0,,28700000,,432100000,611300000,107700000,,28700000.0,,,4300000,,100000.0,-2000000.0,,130300000,28400000,-12500000.0,61739130,,-21800000.0,51800000,199900000,28400000,-10700000.0,59500000,90600000,,236700000,28400000,25700000,109600000,,220500000,61075269,-4100000.0,259000000,,420400000,18500000,20700000.0,,183700000,142200000,0.465,179200000,32800000,92200000,,65000000,15800000,,69600000,48200000,51800000,,-5800000.0,46900000,,,4300000,,318800000,-176600000,,,0.46,,2400000,-49400000,63500000.0,48900000,-38800000.0,-28500000.0,-22200000.0,
1994-12-31,0,,27900000,,494400000,692700000,128800000,,34100000.0,,,41500000,,0.0,-10900000.0,,136800000,35600000,12200000.0,61920000,,-12600000.0,71000000,237400000,35600000,-11600000.0,67500000,51800000,,273200000,35600000,35500000,114900000,,247900000,61920000,2800000.0,282900000,,485300000,23200000,21900000.0,,212100000,158200000,0.575,198300000,72600000,108600000,,74900000,18400000,,83400000,61300000,71000000,,-7600000.0,58800000,,,4600000,,341900000,-183700000,,,0.575,,2000000,-38800000,74500000.0,61500000,19200000.0,-31100000.0,-14600000.0,
1995-12-31,0,,30400000,,601700000,822500000,140900000,,45200000.0,,,18200000,,-100000.0,-9400000.0,,144800000,44100000,-17600000.0,62616822,,-66000000.0,3200000,269100000,44100000,-12900000.0,72700000,71000000,,281900000,44100000,30300000,121600000,,273300000,62532000,5400000.0,314100000,,542400000,28800000,23200000.0,,260500000,193100000,0.705,220800000,55700000,128200000,,121700000,37100000,,99200000,68200000,3200000,,-17300000.0,72900000,,,6100000,,393500000,-200400000,,,0.705,,2800000,-100700000,83000000.0,76000000,-67800000.0,-37500000.0,-22800000.0,
1996-12-31,0,,42000000,,750000000,1017500000,264400000,,74300000.0,,,51000000,,0.0,-14200000.0,,170400000,55700000,-1700000.0,61906000,,-133900000.0,8300000,435000000,55700000,-14100000.0,191200000,3200000,,345900000,55700000,23800000,140600000,,307500000,61906000,2000000.0,348600000,,742500000,36400000,29800000.0,,396600000,264200000,0.9,267500000,86000000,170600000,,137100000,108600000,,126900000,73200000,8300000,,-5800000.0,92100000,,,9100000,,483000000,-218800000,,,0.9,,4000000,-165400000,96300000.0,97100000,5100000.0,-35000000.0,84500000.0,
1997-12-31,0,24300000.0,50700000,,935300000,1260600000,286300000,15800000.0,75900000.0,,,23500000,,0.0,-18100000.0,,197800000,70700000,-27400000.0,62050000,,-49500000.0,1700000,512400000,70700000,-15900000.0,209600000,8300000,,417500000,70700000,27700000,143200000,,348800000,60470000,1900000.0,403400000,,861200000,46100000,38800000.0,,443700000,294200000,1.17,325300000,83000000,226100000,,180300000,121800000,,166300000,76700000,1700000,,-31100000.0,116800000,,,16500000,,539500000,-245300000,,,1.14,,5900000,-93200000,125900000.0,127500000,-6600000.0,-59500000.0,3600000.0,
1998-12-31,0,31200000.0,55600000,,1144200000,1517500000,360700000,16200000.0,101900000.0,,,-30700000,,100000.0,-14400000.0,,221800000,84900000,-31200000.0,61348000,,-16800000.0,3900000,616000000,84900000,-18100000.0,273500000,1700000,,478500000,84900000,49900000,160400000,,406900000,60358000,1100000.0,470100000,,1022900000,55400000,45200000.0,,544400000,354800000,1.405,373300000,96800000,255300000,,193700000,139700000,,196700000,87200000,3900000,,-10500000.0,140300000,,,22700000,,630600000,-275800000,,,1.385,,11400000,-133000000,122200000.0,151500000,2200000.0,-127500000.0,38300000.0,
1999-12-31,10400000,2000000.0,66200000,,1206900000,1611300000,362200000,15800000.0,106300000.0,,,45900000,,0.0,-2400000.0,,236600000,95800000,-7300000.0,61270000,-1700000.0,-12600000.0,10400000,602600000,95800000,-20500000.0,281700000,3900000,,541000000,95800000,32200000,173400000,,478100000,60332000,2000000.0,545400000,,1080700000,59700000,47400000.0,39300000.0,539700000,349500000,1.59,404400000,136100000,240400000,,219300000,158000000,,215200000,80500000,10400000,,-13500000.0,155500000,,,19200000,,658100000,-308600000,,,1.565,,6800000,-85600000,132100000.0,167800000,6500000.0,-90200000.0,-43900000.0,
2000-12-31,8967000,173762000.0,76399000,,1343134000,1771067000,357852000,16463000.0,108484000.0,,,65707000,,0.0,-479000.0,,252496000,96180000,-30671000.0,61198000,-4624000.0,-4174000.0,8967000,757800000,96180000,-22989000.0,281864000,10417000,,576477000,96180000,74918000,176484000,,547879000,60478000,-2803000.0,618595000,,1305679000,54685000,59549000.0,39331000.0,729202000,402614000,1.59,427933000,125126000,399948000,,277455000,251670000,,234986000,75988000,8967000,,-36984000.0,150865000,,,28018000,,743209000,-340595000,,,1.57,,3446000,-272265000,117702000.0,175437000,-1450000.0,-59419000.0,145689000.0,
2001-12-31,15606000,17688000.0,0,19280000.0,1527620000,1849477000,583924000,17325000.0,137098000.0,,,158393000,,0.0,-2311000.0,,222001000,24841000,119044000.0,60900000,-9866000.0,1397000.0,15606000,857703000,24841000,-24883000.0,461744000,8967000,181570000.0,553272000,24841000,60241000,207103000,,540284000,60520000,-4697000.0,618553000,99713000.0,1397987000,13084000,63960000.0,39331000.0,844715000,447660000,0.41,321857000,222918000,273779000,,246173000,336814000,,163816000,122180000,15606000,,59530000.0,37925000,,,29120000,,811206000,-363546000,,,0.41,,-30384000,-217734000,0.0,99856000,6639000.0,-64525000.0,1455000.0,
2002-12-31,23041000,53038000.0,0,15631000.0,1611805000,1971280000,438561000,19929000.0,136881000.0,,,186721000,9880000.0,0.0,,,231824000,72378000,79778000.0,61166000,-9691000.0,-1613000.0,23041000,762823000,28625000,-25887000.0,293124000,15606000,142622000.0,481508000,28625000,80782000,211802000,,553077000,60882000,-2414000.0,621291000,118712000.0,1315900000,38122000,56994000.0,39331000.0,834392000,447986000,0.47,359475000,226057000,324262000,,248801000,305624000,,184645000,145437000,23041000,,-2087000.0,110500000,,,17151000,17723000.0,858061000,-410075000,,,0.47,,-93000,-57245000,0.0,127651000,7435000.0,-39336000.0,-168650000.0,
2003-12-31,26848000,7505000.0,0,16097000.0,1732654000,2108164000,465636000,20219000.0,177957000.0,,,74702000,16812000.0,-882000.0,,,229316000,88920000,-35903000.0,61726000,-11329000.0,-101000.0,26848000,804979000,88920000,-26695000.0,294581000,34768000,218819000.0,584381000,88920000,87806000,213810000,,631930000,61410000,-427000.0,683516000,137784000.0,1436909000,42813000,60366000.0,39331000.0,852528000,454285000,1.45,375510000,116943000,339343000,,263275000,310437000,,206560000,171055000,26848000,,-5433000.0,131733000,,,14461000,8754000.0,910535000,-456250000,,,1.44,,4713000,-72065000,0.0,146194000,-7920000.0,-42241000.0,-53708000.0,
2004-12-31,25018000,59990000.0,16455000,12783000.0,1804486000,2227614000,418732000,16315000.0,167950000.0,,,39150000,,28000.0,-13141000.0,,237438000,118314000,-58799000.0,62818000,7843000.0,217000.0,25018000,802754000,79612000,-27960000.0,259554000,23361000,227423000.0,652269000,79612000,91807000,221676000,,698487000,62064000,5327000.0,735168000,117590000.0,1501241000,52026000,52639000.0,39331000.0,848972000,458545000,1.285,423128000,111410000,384022000,,315528000,298620000,,238329000,159178000,25018000,,-59946000.0,170340000,,,15350000,-1282000.0,957702000,-499157000,,,1.27,,553000,-91846000,25709000.0,185690000,1657000.0,-72260000.0,-18021000.0,
2005-12-31,38745000,57993000.0,65788000,11863000.0,1770694000,2209610000,460307000,15386000.0,127698000.0,,,106405000,,0.0,-39214000.0,,229450000,133334000,17246000.0,62156000,-605000.0,1270000.0,38745000,833018000,106365000,-29608000.0,282426000,25018000,163277000.0,661172000,106365000,138063000,214887000,24479000.0,730239000,61472000,178000.0,811925000,133512000.0,1563257000,60224000,53221000.0,39331000.0,902085000,432749000,1.73,438916000,207608000,372711000,,336090000,331273000,,262687000,177881000,38745000,,-31306000.0,193558000,,,15908000,7909000.0,916032000,-483283000,,,1.71,,823000,-144438000,41645000.0,209466000,13727000.0,-101203000.0,-45382000.0,
2006-12-31,144029000,151676000.0,896000,16046000.0,2049921000,2572510000,468922000,15081000.0,142964000.0,,,-75601000,12098000.0,8138000.0,,,246958000,177286000,-226512000.0,62236000,5014000.0,-433000.0,144029000,935608000,215689000,-32010000.0,274658000,38745000,355409000.0,978241000,215689000,108223000,242513000,,942209000,61240000,8744000.0,995604000,155858000.0,1877817000,78031000,59836000.0,39331000.0,899576000,462307000,3.52,522589000,19878000,466686000,,411890000,19339000,,335467000,194264000,144029000,,-74061000.0,255317000,,,23814000,5083000.0,958947000,-496640000,309707000.0,,3.465,,10636000,11119000,142000.0,275631000,105284000.0,-95479000.0,74450000.0,
2007-12-31,88435000,58571000.0,3231000,15708000.0,2293130000,2876383000,481712000,17392000.0,142896000.0,,,176792000,12507000.0,20444000.0,-59957000.0,,253867000,213021000,-2214000.0,62630000,2501000.0,113000.0,88435000,869899000,215637000,-34743000.0,262809000,144029000,367810000.0,1023192000,215637000,23871000,286056000,138019000.0,1118895000,61692000,16014000.0,1199553000,170684000.0,1988794000,106321000,65874000.0,78661000.0,965602000,537637000,3.5,583253000,259302000,388187000,,492274000,38702000,,395260000,115099000,88435000,103804000.0,-8553000.0,319342000,,,10044000,18796000.0,1073352000,-535715000,365392000.0,,3.44,,49581000,-134064000,328000.0,329386000,-55594000.0,-82510000.0,-182396000.0,
2008-12-31,42700000,127000000.0,90100000,14700000.0,2401400000,2971400000,539300000,12800000.0,123600000.0,,,206200000,,83200000.0,-4800000.0,,325100000,149500000,25700000.0,61332000,-39500000.0,400000.0,42700000,981800000,55800000,-36600000.0,273300000,88400000,317000000.0,968100000,55800000,55000000,312300000,4100000.0,1094100000,60541000,148100000.0,1218300000,148300000.0,2075900000,68300000,69000000.0,78700000.0,1107800000,470700000,0.92,570000000,274200000,442500000,,424200000,146300000,,313900000,266000000,42700000,,8300000.0,217800000,,,27600000,-22400000.0,1014700000,-544000000,435800000.0,,0.91,,500000,-354200000,28900000.0,244900000,-45700000.0,-68000000.0,35200000.0,
2009-12-31,96300000,0.0,0,17300000.0,1875600000,2379500000,394400000,16600000.0,135700000.0,-22100000.0,0.0,399000000,1000000.0,100000.0,-1300000.0,300000.0,324000000,151800000,195100000.0,61234000,-34700000.0,300000.0,96300000,695500000,144600000,-38600000.0,156100000,42700000,,799800000,144600000,631700000,289000000,,1218600000,60601000,-3100000.0,1324300000,165400000.0,1914100000,46100000,67500000.0,78700000.0,1114300000,482600000,2.36,503900000,447200000,301100000,13900000.0,345800000,162900000,-80800000.0,274400000,238300000,96300000,,157300000.0,197900000,113200000.0,,9000000,8300000.0,1008600000,-526000000,462200000.0,,2.34,-235400000.0,27000000,-119500000,0.0,179900000,53600000.0,-48200000.0,-274200000.0,
2010-12-31,89400000,69000000.0,0,17100000.0,1999000000,2527700000,732400000,23200000.0,195400000.0,,,42800000,6100000.0,-600000.0,0.0,,332600000,130600000,-109900000.0,61592000,-38100000.0,-200000.0,89400000,1188800000,145600000,-40600000.0,405100000,96300000,,1016900000,145600000,14200000,310500000,,1340700000,60901000,-600000.0,1429300000,192000000.0,2529500000,57200000,71900000.0,78700000.0,1512600000,533400000,2.36,528700000,107400000,456400000,13300000.0,430500000,297900000,-343400000.0,196100000,327300000,89400000,,-56300000.0,187800000,122600000.0,,8300000,7500000.0,1076300000,-542900000,667100000.0,,2.34,0.0,0,-339300000,0.0,196100000,-6900000.0,-64600000.0,223800000.0,
2011-12-31,74700000,158100000.0,30200000,16300000.0,2547400000,3224500000,1028800000,28700000.0,260800000.0,,2600000.0,111600000,10600000.0,1400000.0,,,402000000,181900000,-91600000.0,62495000,-45000000.0,200000.0,74700000,1642300000,180300000,-43500000.0,604300000,89400000,486400000.0,1213600000,180300000,39100000,376600000,5300000.0,1500100000,61457000,180800000.0,1566100000,178300000.0,3142400000,72000000,88000000.0,78700000.0,1928800000,560300000,2.91,677100000,191200000,613500000,15700000.0,539000000,479200000,-392900000.0,363100000,294800000,77300000,,-75800000.0,253900000,129700000.0,,21700000,1800000.0,1141500000,-577400000,850200000.0,,2.86,-59000000.0,0,-463500000,0.0,275100000,-14700000.0,-79600000.0,256400000.0,
2012-12-31,112500000,0.0,29000000,17600000.0,2731700000,3629400000,1198600000,33000000.0,259700000.0,-15700000.0,,345500000,38800000.0,-2900000.0,,,473400000,267300000,105400000.0,63610000,-35500000.0,400000.0,112500000,1669200000,270200000,-48000000.0,752500000,74700000,482700000.0,1205300000,270200000,38600000,427700000,400000.0,1788100000,62513000,200000.0,1788300000,193300000.0,3457300000,131500000,104900000.0,78700000.0,2252000000,637100000,4.3,897700000,485900000,470600000,8500000.0,538000000,617500000,-314300000.0,529200000,310700000,112500000,246100000.0,26500000.0,398800000,135400000.0,21000000.0,25500000,-13800000.0,1272800000,-635700000,958800000.0,,4.22,0.0,0,-428500000,0.0,424300000,37800000.0,-140400000.0,-20600000.0,
2013-12-31,754500000,0.0,0,17400000.0,2197400000,2943000000,1142300000,29300000.0,187000000.0,-20600000.0,,303900000,,-5800000.0,,,378800000,235200000,48000000.0,64806000,-31500000.0,0.0,754500000,1514100000,209700000,-53800000.0,751000000,112500000,399600000.0,1530600000,209700000,33900000,353700000,0.0,1986100000,63471000,112200000.0,1944300000,167400000.0,3500200000,97800000,113900000.0,78700000.0,1969600000,497200000,3.29,745600000,414700000,371800000,11900000.0,298800000,579800000,0.0,480700000,247700000,754500000,177600000.0,35600000.0,333000000,143600000.0,8400000.0,33800000,-61700000.0,965200000,-468000000,858700000.0,,3.22,-1500000.0,0,270100000,0.0,366800000,642000000.0,-110800000.0,-41500000.0,
2014-12-31,730800000,,0,17900000.0,2384500000,3204000000,1161500000,33800000.0,198000000.0,-5100000.0,,177100000,42500000.0,0.0,,,411200000,251700000,-50400000.0,65304000,-61800000.0,0.0,730800000,1553700000,251300000,-61200000.0,749800000,754500000,439200000.0,1611500000,251300000,23700000,379000000,0.0,2205000000,64170000,500000.0,2134400000,176300000.0,3758700000,124400000,104000000.0,78700000.0,2147200000,547300000,3.89,819500000,295900000,392200000,3300000.0,339100000,611700000,-194000000.0,512300000,260600000,730800000,195400000.0,-27700000.0,376100000,151100000.0,-18100000.0,32200000,-9900000.0,1061000000,-513700000,964500000.0,,3.82,-1500000.0,0,-297800000,0.0,408300000,-23700000.0,-118800000.0,-20200000.0,
2015-12-31,410700000,149900000.0,0,24000000.0,2536500000,3543200000,1000800000,42800000.0,212600000.0,-2900000.0,,457100000,39400000.0,0.0,-137200000.0,,504800000,319600000,94600000.0,65804000,-87100000.0,0.0,410700000,1606700000,319700000,-72300000.0,598700000,730800000,502500000.0,1319500000,319700000,26600000,461900000,,2347400000,64844000,-2200000.0,2381800000,219400000.0,3954100000,148300000,129300000.0,78700000.0,2634600000,585800000,4.89,1006700000,529200000,605900000,2700000.0,356000000,887800000,-598900000.0,631200000,242400000,410700000,176500000.0,23000000.0,467900000,159700000.0,-11800000.0,34000000,-15800000.0,1154500000,-568700000,1134400000.0,,4.82,-1500000.0,-100000,-670800000,0.0,501900000,-320100000.0,-72100000.0,-173000000.0,
2016-12-31,385300000,0.0,57000000,23200000.0,2518100000,3675400000,985400000,48100000.0,243600000.0,21600000.0,,422400000,,0.0,-75000000.0,,574700000,250800000,35400000.0,64883000,-122200000.0,900000.0,385300000,1498900000,250100000,-84500000.0,596400000,410700000,511600000.0,1355200000,250100000,25000000,532000000,,2466900000,64226000,-6000000.0,2547400000,246700000.0,3965800000,159700000,137800000.0,78700000.0,2610600000,632200000,3.86,1157300000,531200000,513500000,-2600000.0,377000000,872200000,-185500000.0,578900000,217000000,385300000,144100000.0,-12200000.0,410500000,172000000.0,300000.0,30600000,-25000000.0,1244900000,-612700000,1081200000.0,14200000.0,3.82,-150000000.0,-141500000,-293400000,0.0,582600000,-25400000.0,-108800000.0,-261100000.0,
2017-12-31,379600000,,74300000,27800000.0,2941900000,4089900000,2112900000,54900000.0,352400000.0,42700000.0,,298800000,,-17900000.0,-268400000.0,,642300000,365300000,-44500000.0,63551000,-85700000.0,-100000.0,379600000,2771500000,365500000,-92100000.0,1586200000,385300000,657700000.0,1644600000,365500000,38100000,589400000,,2528300000,63073000,13900000.0,2820800000,154900000.0,5299800000,102900000,169100000.0,78700000.0,3655200000,780900000,5.75,1148000000,458700000,658600000,13200000.0,507900000,1234400000,-934300000.0,501700000,14500000,379600000,262600000.0,-48500000.0,468200000,188000000.0,-53900000.0,33500000,-58500000.0,1487700000,-706800000,1601800000.0,19400000.0,5.71,-1189000000.0,-4000000,-1094300000,0.0,505700000,-5700000.0,-159900000.0,627200000.0,
2018-12-31,803600000,,75300000,25500000.0,3304800000,4479500000,2056200000,55100000.0,312100000.0,-39500000.0,,218500000,,-10100000.0,-459800000.0,,665700000,358600000,-216400000.0,60786000,-122100000.0,11400000.0,803600000,2651800000,611100000,-93500000.0,1587800000,378300000,698300000.0,2056700000,611100000,22900000,625400000,,2597400000,60393000,-18800000.0,3351400000,141400000.0,5249200000,87300000,190600000.0,78700000.0,3192500000,760100000,10.09,1174700000,339200000,595600000,23900000.0,457500000,967700000,-19500000.0,499400000,20500000,803600000,186700000.0,-29000000.0,445900000,201900000.0,-54500000.0,53500000,-800000.0,1465200000,-705100000,1441800000.0,,10.02,0.0,-9600000,629200000,,509000000,426600000.0,-120700000.0,-540700000.0,
