date,annualPretaxIncome,annualPurchaseOfInvestment,annualLongTermDebt,annualAccountsReceivable,annualTotalAssets,annualNetIncome,annualDilutedEPS,annualBasicAverageShares,annualOtherNonCashItems,annualBasicEPS,annualSaleOfInvestment,annualCommonStockIssuance,annualStockholdersEquity,annualInvestingCashFlow,annualDepreciationAndAmortization,annualRetainedEarnings,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualOtherIntangibleAssets,annualNetPPE,annualOperatingIncome,annualOtherShortTermInvestments,annualOtherIncomeExpense,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccountsPayable,annualCurrentLiabilities,annualOtherNonCurrentLiabilities,annualEbitda,annualRepurchaseOfCapitalStock,annualIncomeTaxPayable,annualInvestmentsAndAdvances,annualGainsLossesNotAffectingRetainedEarnings,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,annualDilutedAverageShares,annualCashAndCashEquivalents,annualChangesInAccountReceivables,annualBeginningCashPosition,annualCurrentAssets,annualInterestExpense,annualOtherNonCurrentAssets,annualNetIncomeCommonStockholders,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,annualGrossPPE,annualRepaymentOfDebt,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualCapitalExpenditure,annualCurrentDeferredRevenue,annualCapitalStock,annualOtherCurrentAssets,annualCostOfRevenue,annualTotalRevenue,annualTaxProvision,annualStockBasedCompensation,annualCurrentDebt,annualNetOtherFinancingCharges,annualGrossProfit,annualTotalNonCurrentAssets,annualResearchAndDevelopment,annualInventory,annualChangeInWorkingCapital,annualPurchaseOfBusiness,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualOperatingExpense,annualChangeInInventory,annualNetIncomeContinuousOperations,annualNonCurrentDeferredRevenue,annualGoodwill,annualCashDividendsPaid,annualDeferredIncomeTax,annualNonCurrentDeferredTaxesLiabilities
2006-12-31,,-14969926.0,,51498.0,40862746,-31073012,-3.539993,8776802,6781596.0,-3.539993,14435793.0,8162858,37711901,-1988022,2090375,-203721256,8162858,20159201,2558541.0,4329583,-32983049,12992931.0,,-20613369,,,1401584,3150845,,-30892674,,,,18418.0,33152132,0.0,8776802,20159201,,34597734,33939913,,34709,-31073012,7752752,-10174712,14504295,,1371353.0,-14438533,377908,-1453889,,5318.0,0,,115291,,,,0.0,115291,6922833,25345588,,1395303,,3150845,-22067258,33098340,,-31073012,,,,,
2007-12-31,,-110417.0,2070704.0,2869760.0,38637930,-27167725,-2.999994,8990353,775699.0,-2.999994,12813079.0,18744948,26381747,10575568,2013859,-226357555,18744948,24802562,3066625.0,6825145,-33107576,271851.0,4955875.0,-24677155,2503854.0,,3026072,9752329,433150.0,-31093717,,,,,25074413,0.0,8990353,24802562,,20159201,28711451,,34709,-27167725,9332365,-11816549,18641694,,1171666.0,4643361,4745992,-2127094,737500.0,6445.0,0,,10985191,,,71099.0,0.0,10985191,9926479,34760402,,-358369,,12256183,-26804249,44092767,,-27167725,,,,,
2008-12-31,,-10211.0,2000789.0,4971495.0,25535828,-23952625,-2.039996,11581935,12385224.0,-2.039996,,80805,15731842,-1239117,1468980,-250310180,-31894,11192238,3267778.0,5188984,-17541296,282062.0,-6755194.0,-12339313,2516410.0,,2014130,7287576,515621.0,-16072316,,,,,11474300,0.0,11581935,11192238,,24802562,17044357,104162.0,34709,-23952625,9796947,-12919371,18108355,,1305829.0,-13610324,1703740,-1217531,2190000.0,7110.0,0,,21258155,,,73877.0,0.0,21258155,8491471,29002504,,-2824513,,9803986,-13556844,38799451,,-23952625,,,,,
2009-12-31,,0.0,1924000.0,2085000.0,60027000,-25159000,-1.619997,15515031,9198000.0,-1.619997,111000.0,47840000,23630000,-1883000,1379000,-275469000,47766000,48275000,3759000.0,2466000,-15507000,171000.0,-9198000.0,-8800000,2890000.0,,1381000,33507000,966000.0,-14128000,,,,,48446000,0.0,15515031,48275000,,11192000,51310000,454000.0,2492000,-25159000,8696000,-14026000,16492000,-74000.0,922000.0,37083000,27699000,-1994000,3428000.0,11000.0,779000,0.0,17585000,,2374000.0,77000.0,0.0,17585000,8717000,24396000,,2933000,0.0,36397000,-10794000,33092000,,-25159000,,,,,
2010-12-31,,-7000.0,1842000.0,3224000.0,45976000,-32177000,-1.739997,18538870,11502000.0,-1.739997,0.0,2561000,-2817000,-1961000,1463000,-307646000,2484000,33589000,3980000.0,4035000,-20934000,,-11502000.0,-15209000,2936000.0,,1311000,45857000,1094000.0,-19471000,,,,,33589000,0.0,18538870,33589000,,48275000,37838000,,123000,-32177000,14382000,-14963000,18998000,-77000.0,2015000.0,-14686000,39146000,-1954000,3304000.0,11000.0,1025000,0.0,29420000,,3169000.0,81000.0,0.0,29420000,8138000,35972000,,-350000,0.0,48793000,-17163000,50354000,,-32177000,,,,,
2011-12-31,,0.0,1757000.0,3633000.0,54368000,-2318000,-0.12,21599209,-33022000.0,-0.12,,32380000,31017000,-2305000,1300000,-309964000,32299000,39904000,4764000.0,4265000,-35927000,,33022000.0,-23679000,2750000.0,7996000.0,9396000,20601000,993000.0,-35927000,,,,,39904000,0.0,21599209,39904000,-1063000.0,33589000,45184000,90000.0,155000,-2318000,16055000,-15765000,20030000,-81000.0,2244000.0,6315000,5572000,-2305000,3304000.0,13000.0,5280000,0.0,46990000,,3129000.0,85000.0,0.0,46990000,9184000,66862000,,6933000,,23351000,-25984000,82917000,,-2318000,,,,,
2012-12-31,-121287000.0,0.0,1668000.0,4713000.0,204993000,-121287000,-5.14,23602000,3078000.0,-5.14,0.0,178681000,123679000,-1145000,1525000,-431251000,178596000,187661000,4913000.0,3397000,-29703000,,-91938000.0,-29694000,2428000.0,-1718000.0,7532000,78886000,760000.0,-28178000,,,,,187661000,0.0,23602000,187661000,-3587000.0,39904000,193908000,,2775000,-121287000,14630000,-16708000,20105000,-85000.0,2741000.0,147757000,65220000,-1145000,3304000.0,3000.0,1534000,0.0,37329000,,3078000.0,89000.0,0.0,37329000,11085000,52402000,,-5305000,0.0,81314000,-30839000,67032000,,-121287000,,,,,
2013-12-31,-111985000.0,-7897000.0,1576000.0,3530000.0,291569000,-111985000,-3.31,33850000,11127000.0,-3.31,0.0,145986000,247192000,-11672000,1277000,-543236000,145671000,256965000,5042000.0,15049000,-90284000,,-22027000.0,-64695000,8411000.0,9468000.0,17634000,35966000,0.0,-90284000,,,647000.0,,256965000,-7897000.0,33850000,256965000,2801000.0,187661000,270806000,,25000,-111985000,31594000,-17328000,32377000,-89000.0,5047000.0,69304000,9894000,-3775000,3299000.0,4000.0,3061000,0.0,14219000,,11127000.0,92000.0,-226000.0,14219000,20763000,72909000,,12269000,0.0,44377000,-68470000,104503000,,-111985000,,,,,
2014-12-31,-135789000.0,-274368000.0,3738000.0,2416000.0,295033000,-135789000,-3.39,40026000,12000.0,-3.39,142163000.0,104249000,247653000,-159030000,3690000,-679025000,104155000,73551000,5891000.0,38501000,-133789000,136793000.0,-2779000.0,-128539000,10513000.0,,12408000,36867000,0.0,-133789000,,,,-95000.0,210344000,7250000.0,40026000,73551000,1114000.0,256965000,247796000,,2845000,-135789000,49315000,-19896000,58397000,-94000.0,11196000.0,-183414000,1185000,-26825000,3318000.0,4000.0,1571000,0.0,9757000,,20345000.0,2590000.0,0.0,9757000,47237000,94231000,,-22136000,,47380000,-155364000,143546000,,-135789000,,,,,
2015-12-31,-220030000.0,-172696000.0,14969000.0,3977000.0,273782000,-220030000,-5.2,42290000,367000.0,-5.2,185939000.0,130805000,190347000,8410000,5247000,-899055000,147808000,80304000,6642000.0,37344000,-220184000,112187000.0,0.0,-149465000,21141000.0,,20234000,62294000,0.0,-220184000,,,11478000.0,-111000.0,192491000,0.0,42290000,80304000,-1561000.0,73551000,224543000,,5253000,-220030000,75043000,-24594000,61938000,-2598000.0,20864000.0,6753000,1275000,-4833000,3303000.0,5000.0,1201000,0.0,1253000,,32117000.0,8429000.0,0.0,1253000,49239000,146394000,,31985000,,83435000,-154298000,221437000,,-220030000,,,,,
2016-12-31,-267265000.0,-195427000.0,6042000.0,5228000.0,424104000,-267265000,-5.49,48697000,1266000.0,-5.49,112100000.0,364802000,336691000,-90193000,5611000,-1166320000,378129000,122420000,8076000.0,37801000,-266730000,195425000.0,-2548000.0,-245820000,11991000.0,,29690000,75422000,0.0,-266730000,,,,-120000.0,317845000,0.0,48697000,122420000,-1251000.0,80304000,373476000,,1026000,-267265000,83749000,-30346000,68147000,-7603000.0,22268000.0,42116000,1305000,-6866000,3303000.0,5000.0,914000,130000.0,5421000,,29962000.0,10108000.0,0.0,5291000,50628000,188272000,12813000.0,-15767000,,87413000,-252686000,272021000,-12813000.0,-267265000,,,,,
2017-12-31,-48628000.0,-589520000.0,424876000.0,29468000.0,1307964000,-50688000,-0.86,58818000,2679000.0,-0.86,306920000.0,353959000,789217000,-178815000,8092000,-1217008000,888082000,599827000,14355000.0,43156000,-143211000,479369000.0,96573000.0,-231996000,430415000.0,,8467000,88332000,0.0,-142158000,,943000.0,9980000.0,-379000.0,1079060000,125000000.0,58818000,599691000,-24240000.0,122556000,1228644000,5781000.0,21809000,-50688000,122682000,-18022000,61178000,-54754000.0,68982000.0,477271000,1392000,-21215000,3316000.0,6000.0,36511000,7353000.0,154584000,2060000.0,30465000.0,6175000.0,-66055000.0,147231000,79320000,166707000,83605000.0,-97461000,,518747000,-253211000,290442000,-70792000.0,-50688000,,,,,
2018-12-31,-362610000.0,-1171956000.0,420554000.0,49044000.0,1642075000,-361918000,-5.462913,66250000,20190000.0,-5.46,865813000.0,513409000,1032276000,-370488000,12245000,-1578926000,530150000,370829000,11574000.0,97024000,-343628000,803083000.0,10139000.0,-388660000,436109000.0,,33829000,173690000,,-342763000,,301000.0,,-99000.0,1173912000,,66250000,370829000,-19576000.0,599827000,1426183000,33709000.0,107294000,-361918000,207761000,-28149000,125173000,-269353000.0,134095000.0,-228998000,2463000,-64345000,3303000.0,7000.0,77782000,34193000.0,301034000,-692000.0,50127000.0,,,266841000,215892000,401843000,125445000.0,-107892000,,609799000,-453005000,610469000,-41840000.0,-361918000,,,,,
