date,annualOtherNonCurrentAssets,annualOperatingExpense,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualCurrentAssets,annualRepurchaseOfCapitalStock,annualChangesInAccountReceivables,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,annualTaxProvision,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualRepaymentOfDebt,annualInterestExpense,annualTotalRevenue,annualGrossProfit,annualTotalNonCurrentAssets,annualFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualChangeInInventory,annualBeginningCashPosition,annualCashDividendsPaid,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualBasicEPS,annualNetIncome,annualCostOfRevenue,annualCurrentDebt,annualInvestingCashFlow,annualDilutedAverageShares,annualIncomeTaxPayable,annualLongTermDebt,annualStockholdersEquity,annualOtherNonCashItems,annualNonCurrentDeferredTaxesLiabilities,annualStockBasedCompensation,annualGoodwill,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,annualCurrentLiabilities,annualInventory,annualRetainedEarnings,annualAccountsReceivable,annualDilutedEPS,annualPurchaseOfInvestment,annualSaleOfInvestment,annualCapitalStock,annualBasicAverageShares,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIncomeExpense,annualNetPPE,annualCommonStockIssuance,annualGainsLossesNotAffectingRetainedEarnings,annualOtherShortTermInvestments,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualAccountsPayable,annualChangeInAccountPayable,annualEbitda,annualEndCashPosition,annualOperatingIncome,annualCashAndCashEquivalents,annualGrossPPE,annualNetOtherInvestingChanges,annualPretaxIncome,annualInvestmentsAndAdvances,annualOtherNonCurrentLiabilities,annualNonCurrentDeferredRevenue,annualCurrentDeferredRevenue
2010-12-31,367600000,2052400000,-280200000,1832400000,-72500000,-1574300000,3008100000,-505600000,,-900000,-22800000,524000000,263300000,0,596900000,0,,4220200000,3207800000,4990000000,913300000,2226800000,220000000,-13900000,363100000,25800000,691700000,,-82600000,596900000,2.98,596900000,1012400000,,-726900000,201100000,48900000,1142100000,5771300000,1400000,,62000000,2580800000,7998100000,-489600000,340200000,702300000,935300000,5699400000,775900000,2.97,-100900000,67500000,2500000,200000000,827100000,934000000,-238700000,1213800000,16900000,321000000,265100000,1524500000,1193500000,129600000,,1495600000,668900000,1155400000,668900000,2788100000,-345800000,860200000,,382400000,,
2011-12-31,606900000,2230500000,-269200000,1834100000,12900000,-1805800000,3276600000,-1050000000,,44400000,99400000,455400000,218900000,723800000,760800000,-4000000,45200000,4451800000,3329800000,5238700000,907700000,3000500000,238600000,-22800000,284200000,7200000,668900000,,-56800000,760000000,4.05,760800000,1122000000,143300000,-624400000,188700000,8600000,1576000000,5514800000,11400000,,60500000,2626000000,8515300000,-455800000,359900000,867100000,929800000,6426800000,838800000,4.03,-750000000,394800000,2500000,187600000,798500000,1223800000,-75200000,1207300000,43400000,271400000,455500000,2133400000,1176900000,143300000,,1384000000,768300000,1099300000,768300000,3013100000,0,978900000,,557400000,,
2012-12-31,780500000,2032700000,-263600000,1807100000,-64800000,-1983600000,3708700000,-485600000,-45500000,-600000,116000000,347900000,237200000,765900000,755000000,-50100000,72900000,4471700000,3346500000,5303700000,888300000,3146100000,225600000,-128200000,272900000,-67500000,768300000,-94400000,-59000000,752900000,4.32,755000000,1125200000,100100000,-592100000,176000000,22800000,1720800000,5866300000,4800000,,55000000,2571800000,9012400000,-436500000,363100000,866000000,995300000,7085900000,884600000,4.29,-1130100000,878500000,2600000,174900000,740700000,1555900000,-266400000,1210700000,46900000,343900000,671600000,2280100000,1151900000,184100000,47800000,1426100000,884300000,1313800000,884300000,3194300000,-76900000,990100000,,559300000,,
2013-12-31,839300000,2038000000,-292900000,1833800000,-126200000,-2091500000,4197700000,-719000000,-74300000,6800000,196300000,431600000,221900000,1031100000,761000000,-97500000,70100000,4623400000,3337300000,5382900000,670200000,3280500000,204200000,-240900000,379000000,-128400000,884300000,-132400000,-74200000,759200000,4.49,761000000,1286100000,500000,-282500000,171800000,221200000,1672300000,6300100000,8000000,,48500000,2611200000,9580600000,-467300000,358500000,1031600000,1074500000,7712700000,936600000,4.43,-732700000,830800000,2600000,169600000,707700000,1807600000,-263700000,1224700000,474800000,367100000,727000000,2248900000,963100000,146300000,38300000,1409700000,1080600000,1299300000,1080600000,3316200000,-87700000,981100000,,576600000,,
2014-05-31,93000000,1870000000,-228700000,1393200000,-238500000,-705900000,1871100000,0,-29100000,-21500000,,576800000,-115800000,0,75900000,-1124200000,355900000,3223400000,2183200000,7895500000,300300000,7657400000,169600000,164200000,0,-23400000,355600000,,-152200000,75900000,0.452272,75900000,1040200000,133100000,-365100000,168800000,,5587300000,2109200000,40900000,968600000,18200000,3634400000,9766600000,,501200000,845200000,693400000,,577300000,0.452272,-29400000,42800000,5500000,168800000,3439600000,247600000,2800000,716000000,,-3577800000,,6812200000,529000000,135300000,12300000,817200000,247600000,313200000,247600000,1421900000,2400000,-39900000,12500000,256300000,,
2014-12-31,939200000,2010800000,-342300000,1822500000,-84200000,-2121800000,4289000000,-400500000,-40400000,-53400000,2700000,187200000,224900000,611300000,720100000,2300000,63100000,4673300000,3423500000,5345700000,710500000,3112100000,188300000,-38700000,0,-154100000,1080600000,-145500000,-54300000,719000000,4.26,720100000,1249800000,0,-469400000,171700000,72400000,1425500000,6520800000,5400000,45900000,49400000,2514200000,9634700000,-562400000,375800000,1038000000,1169000000,8285200000,912100000,4.19,-1350900000,1282200000,2700000,169000000,603500000,1695800000,-417600000,1288800000,284700000,85900000,612500000,2074100000,1052800000,167100000,120100000,1007000000,1083300000,1412700000,1083300000,3410600000,-4100000,943900000,,602700000,,
2015-12-31,724100000,2901600000,-434100000,2284200000,-164000000,-2365300000,6032300000,-150000000,-62800000,-46600000,369300000,775900000,-36600000,1635600000,49700000,-3239900000,286600000,5997800000,4141200000,21376100000,428700000,17595000000,268800000,-545400000,655300000,-248100000,1083300000,-157100000,-7812900000,48900000,0.27,49700000,1856600000,,-7610700000,189800000,147200000,11556300000,9811600000,538800000,3150200000,46400000,9531200000,27408400000,7139800000,723500000,1635600000,2306600000,8347700000,1453200000,0.26,-214800000,802900000,3000000,187400000,9057200000,1617200000,-950100000,2063600000,105200000,-329000000,164600000,15959400000,862800000,284800000,-186800000,1022400000,1452600000,1239600000,1452600000,4427900000,48200000,12300000,,4403100000,,
2016-12-31,553600000,3864400000,-530200000,2932900000,-153200000,-2633600000,4673500000,-415500000,-137800000,-16300000,-825200000,864100000,100000000,1825400000,302900000,-2050000000,357900000,7683900000,5309000000,21835400000,1102000000,16926000000,365600000,-202700000,465700000,69500000,1459300000,-188400000,-1443000000,301600000,1.51,302900000,2374900000,575600000,-1691500000,202400000,183500000,10669800000,9582900000,323300000,3030900000,57300000,10508500000,26508900000,-743200000,1039300000,2401000000,1969300000,8467100000,1604400000,1.5,-1500000,286200000,3100000,200000000,8735400000,634100000,-688000000,2037900000,136600000,-434000000,0,14525000000,1632200000,364500000,33600000,1798800000,634100000,1444600000,634100000,4671500000,-3000000,401600000,,3855200000,,
2017-12-31,749900000,3945200000,-493000000,2973900000,-1776000000,-3045100000,4582300000,0,176500000,85800000,-109700000,873200000,-1359600000,1780800000,1839600000,-1840900000,327500000,7824100000,5691200000,21810300000,1089300000,14634700000,367400000,-1737600000,481500000,-122800000,634100000,-193600000,-4000000,1839200000,9.11,1839600000,2132900000,1225000000,-510800000,203700000,165200000,8917500000,11757900000,32800000,1101500000,53700000,10668400000,26392600000,-1210500000,1062700000,3005800000,2081800000,10022800000,1494600000,9.03,0,0,3100000,201900000,8353400000,524400000,-941100000,2038600000,145500000,-83200000,,11628900000,1582300000,330200000,-163100000,1869800000,524400000,1746000000,524400000,5083700000,-13800000,479600000,,2711400000,,
2018-12-31,405000000,4513800000,-439000000,3379300000,13400000,-3421700000,4427400000,0,213600000,-60500000,18400000,670600000,108200000,1896300000,-379200000,-2978900000,292600000,7932900000,5661000000,19699400000,1308400000,12850700000,391700000,41000000,352300000,-199500000,524400000,-195200000,-15300000,-379300000,-1.86,-379200000,2271900000,500000000,-416600000,203500000,142400000,8438700000,11276100000,,999500000,65500000,9594400000,24126800000,-1302200000,1040500000,2396300000,2256500000,9491200000,1275800000,-1.86,0,69200000,3100000,203500000,7684600000,542800000,-1129000000,2015400000,,-187400000,,10454400000,1747400000,362600000,155900000,1062000000,542800000,1147200000,542800000,5437100000,-46800000,-271100000,,2015700000,,
2019-12-31,980100000,4459800000,-720600000,3343800000,-538700000,-3839400000,4723900000,,,-25300000,75100000,778100000,-225700000,321700000,1131600000,-1465300000,226900000,7982200000,5729600000,19914800000,865200000,12245900000,449300000,-167500000,357100000,-125200000,542800000,-196700000,-37100000,1131500000,,1131600000,2252600000,1500000000,-729300000,,126700000,6721400000,12388100000,,840100000,84300000,9599700000,24638700000,-779900000,1006100000,3441500000,2385000000,10427300000,1363900000,,,48100000,3100000,,7257600000,,-137100000,2077400000,,-241900000,,8804400000,1585800000,400900000,-42000000,2138800000,617900000,1269800000,617900000,5916800000,-19700000,905800000,,557800000,,
