date,annualBeginningCashPosition,annualInterestExpense,annualCurrentAssets,annualChangesInAccountReceivables,annualOtherNonCurrentAssets,annualGrossPPE,annualAccumulatedDepreciation,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualSellingGeneralAndAdministration,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,annualTaxProvision,annualCapitalExpenditure,annualOtherCurrentLiabilities,annualOtherCurrentAssets,annualCurrentDeferredRevenue,annualTotalRevenue,annualCurrentDebt,annualCostOfRevenue,annualCapitalStock,annualNetOtherFinancingCharges,annualGrossProfit,annualTotalNonCurrentAssets,annualFreeCashFlow,annualStockBasedCompensation,annualInventory,annualChangeInWorkingCapital,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualOperatingExpense,annualTotalLiabilitiesNetMinorityInterest,annualLongTermDebt,annualDilutedEPS,annualCashDividendsPaid,annualAccountsReceivable,annualPretaxIncome,annualPurchaseOfInvestment,annualNetIncome,annualBasicAverageShares,annualGoodwill,annualSaleOfInvestment,annualIncomeTaxPayable,annualBasicEPS,annualStockholdersEquity,annualOtherNonCashItems,annualRetainedEarnings,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,annualInvestingCashFlow,annualEndCashPosition,annualOperatingIncome,annualOtherIntangibleAssets,annualOtherIncomeExpense,annualNetPPE,annualCommonStockIssuance,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualAccountsPayable,annualCurrentLiabilities,annualChangeInAccountPayable,annualEbitda,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,annualOtherNonCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualGainsLossesNotAffectingRetainedEarnings,annualDilutedAverageShares,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualOtherShortTermInvestments
2003-12-31,9305000,26745000,544586000,,32662000,663718000,-196847000,34010000,8120000,395927000,,-7139000,53265000,20846000,-20909000,22696000,0,,1882933000,22400000,1372310000,303587000,0,510623000,824838000,85505000,,288080000,29053000,,34010000,40349000,19995000,432797000,712423000,469250000,0.535,-8021000,221793000,54856000,,34010000,63705684,,,,0.535,647619000,,344962000,1369424000,149714000,36870000,-263739000,2166000,77826000,325305000,2837000,466871000,10490000,509599000,106414000,98438000,202824000,,114696000,,,0,2166000,-930000,63732668,2166000,0,,,
2004-12-31,2166000,28690000,733229000,,29509000,689439000,-230626000,169728000,2726000,483887000,,9493000,101919000,100240000,-35982000,0,0,,2947202000,46400000,2110848000,313953000,0,836354000,830102000,85786000,,349779000,-105740000,,169728000,55613000,-61699000,528514000,725243000,380850000,2.595,-10157000,329991000,269968000,,169728000,64960202,,,,2.615,822552000,,508147000,1563331000,-64191000,44627000,-49649000,11659000,307840000,341780000,4168000,458813000,10366000,436463000,121768000,140323000,288780000,,352467000,,,0,11659000,452000,65350758,11659000,-16948000,,,
2005-12-31,11659000,25222000,847348000,,57273000,745596000,-265877000,205437000,-1059000,507905000,,23363000,94960000,127775000,-53740000,0,0,,3370722000,50061000,2449000000,325010000,-7159000,921722000,921722000,218479000,,387385000,8982000,,205437000,65808000,-11345000,554536000,722077000,301275000,3.105,-12530000,369931000,333212000,,205437000,65870000,,,,3.12,1029865000,,704530000,1769070000,-102143000,46631000,-146632000,35022000,367186000,384730000,3671000,479719000,11057000,388258000,272219000,188584000,333819000,,413817000,,,15660000,35022000,325000,66194000,35022000,0,,,
2006-12-31,35022000,61692000,1675389000,,57046000,1059824000,-317152000,354507000,7295000,821386000,,22453000,163861000,216625000,-108742000,0,0,,5748376000,22816000,4231386000,701690000,-6015000,1516990000,1938784000,82222000,,904318000,-230514000,,354507000,181628000,-89414000,883860000,1866529000,1083095000,4.82,-16145000,666273000,571132000,-3096000,354507000,73134102,784871000,,,4.85,1746398000,-232000,1046339000,3614173000,481756000,60325000,-650434000,57475000,633130000,354195000,5768000,742672000,7337000,1315790000,190964000,340356000,550739000,,695604000,,,46111000,57475000,-1631000,73599681,57475000,521000,,,
2007-12-31,57475000,78710000,1721403000,,86996000,1202642000,-378007000,407955000,12042000,1034139000,,19548000,170286000,246438000,-124127000,0,0,,7265610000,72456000,5418161000,0,9511000,1847449000,2262074000,514837000,,911315000,139101000,,407955000,200181000,129582000,1114012000,1875529000,1008765000,5.36,-24207000,691462000,654393000,,407955000,75622799,886152000,,,5.39,2106249000,840000,1439598000,3983477000,-199850000,79873000,-419808000,77023000,733437000,464291000,9931000,824635000,16764000,1275665000,638964000,333986000,599864000,,813310000,,-82168000,62224000,77023000,20245000,76064616,77023000,-30769000,,,
2008-12-31,77023000,82575000,2302372000,166025000,87199000,1441931000,-443225000,482777000,22720000,1211201000,-1798602000,-25028000,224389000,282921000,-151890000,0,0,82949000,8718844000,93877000,6556748000,563092000,5155000,2162096000,2893113000,512794000,13189000,1284468000,50443000,-330249000,483635000,340326000,191472000,1226550000,2760417000,1766093000,6.56,-29229000,851214000,765698000,,482777000,73102215,1065527000,6524000,,6.6,2431436000,4666000,1900360000,5195485000,-231488000,97924000,-457654000,51995000,935546000,741681000,-87273000,998706000,284000,2110252000,664684000,248312000,650165000,,1033470000,,-114774000,0,51995000,-32016000,73597717,51995000,5369000,,,
2009-12-31,51995000,67523000,1390904000,322163000,106155000,1503753000,-522494000,148158000,58016000,1030245000,-1188454000,-8993000,157876000,46317000,-69901000,0,0,3534000,5318132000,86383000,3918611000,0,-10026000,1399521000,2915873000,873095000,15530000,719915000,613542000,0,149176000,335897000,569943000,1149129000,1698655000,849375000,2.01,-29383000,533871000,195493000,-31544000,148158000,73445583,1081324000,6576000,,2.02,2606432000,1120000,2020343000,4306777000,-859829000,118884000,-93585000,43002000,250392000,726255000,12624000,981259000,258000,1281086000,942996000,169113000,417569000,,381900000,20880000,0,335897000,43002000,-1523000,73701979,43002000,6576000,,,
2010-12-31,43002000,61175000,1700897000,-146743000,59049000,1629546000,-604241000,194353000,42724000,1103584000,-560580000,29913000,167811000,98579000,-111356000,0,0,,6312795000,86232000,4727887000,0,2403000,1584908000,2967996000,102731000,17334000,860215000,-165345000,-100325000,197849000,372563000,-121857000,1224187000,1838779000,855085000,2.61,-29692000,697033000,296428000,,194353000,74230452,1109600000,46738000,,2.62,2823732000,320000,2188725000,4668893000,-24464000,120603000,-161783000,72915000,360721000,755768000,-3118000,1025305000,0,1330184000,214087000,244988000,508595000,79388000,478206000,18274000,0,27787000,72915000,10275000,74472380,72915000,0,,,
2011-12-31,72900000,59800000,2274700000,-145900000,69300000,1785500000,-680000000,343800000,-27200000,1280100000,-606600000,11700000,96100000,162400000,-156400000,0,0,,8134700000,12200000,6148700000,0,-11300000,1986000000,3331200000,78400000,21300000,1212800000,-246500000,-313300000,349200000,439800000,-231000000,1413200000,2453900000,1319000000,4.58,-35900000,896200000,511600000,-8500000,343800000,74739130,1244300000,3600000,21900000,4.6,3143900000,3900000,2495600000,5605900000,247600000,133100000,-474600000,84600000,572800000,895900000,-1400000,1105500000,0,1877500000,234800000,335200000,576400000,107600000,704500000,16200000,,30100000,84600000,-8800000,75041753,84600000,-9000000,,,
2012-12-31,84600000,58400000,2277400000,123100000,73000000,2005400000,-764700000,403500000,2800000,1396200000,-763000000,13000000,126200000,201100000,-214000000,0,0,,8442300000,83600000,6235400000,0,-4300000,2206900000,3580300000,387900000,23000000,1272300000,14100000,-166900000,408300000,466300000,-1300000,1547700000,2290300000,1123800000,5.33,-60200000,807700000,609400000,-11900000,403500000,75279851,1314600000,2900000,0,5.36,3558400000,23400000,2837700000,5857700000,-207600000,151500000,-381700000,97600000,659200000,936500000,8600000,1240700000,,1712100000,601900000,255600000,578200000,-88800000,819300000,15500000,,27100000,97600000,-1500000,75694212,97600000,0,,,
2013-12-31,97600000,77500000,2738900000,25400000,78700000,2476600000,-872700000,321600000,3100000,1638400000,-1454500000,-14000000,137100000,153600000,-168000000,0,0,,9223800000,36500000,6826200000,0,-11500000,2397600000,4602100000,465300000,26000000,1540000000,70300000,-821100000,324700000,690800000,111900000,1830800000,3456600000,2072500000,4.14,-96900000,983500000,478300000,-10300000,321600000,76754177,1691600000,7700000,,4.19,3874600000,-400000,3063000000,7341000000,332100000,192400000,-979000000,83600000,566800000,1213800000,-11000000,1603900000,,2883200000,633300000,280300000,573400000,-49700000,748200000,14100000,,35900000,83600000,-6700000,77646192,83600000,800000,,,
2014-12-31,83600000,81900000,3121100000,-97200000,75700000,2660500000,-1004100000,371500000,-18200000,1789800000,-552200000,22600000,144800000,170000000,-190400000,0,0,,10451600000,93900000,7830600000,0,-5600000,2621000000,4715500000,165600000,22800000,1752100000,-220900000,-208200000,376300000,692900000,-131000000,2003600000,3708700000,2222300000,4.73,-108700000,1144600000,546300000,,371500000,77719665,1736400000,,9200000,4.78,4099000000,-3600000,3328500000,7836600000,33000000,213800000,-365000000,106200000,617400000,1241600000,10800000,1656400000,,3045900000,356000000,286500000,662800000,-24200000,842000000,5400000,-50000000,28500000,106200000,-48900000,78615939,106200000,7400000,,,
2015-12-31,106200000,84300000,2554200000,222500000,81700000,2772300000,-1136800000,311500000,-17100000,1728500000,-962300000,-1900000,123200000,142500000,-172200000,0,0,,9350500000,500800000,6803600000,533800000,-11400000,2546900000,4567400000,852800000,21300000,1436000000,425200000,-400000,316200000,627100000,306800000,1947000000,3178900000,1427900000,4.16,-120100000,916600000,458700000,,311500000,74166667,1724800000,,0,4.2,3914100000,9800000,3480000000,7121600000,-848500000,218500000,-169900000,104300000,599900000,1125400000,-56900000,1635500000,,2189200000,1025000000,247000000,989700000,-78900000,761500000,,-355500000,30400000,104300000,-99700000,74902064,104300000,2700000,,,
2016-12-31,104300000,84600000,2688500000,-31200000,81900000,2934700000,-1272500000,304300000,-500000,1803300000,-2061400000,18500000,124300000,120100000,-154900000,0,0,,8613400000,82500000,6023100000,590300000,-16300000,2590300000,4722800000,471600000,24400000,1532600000,12600000,-348700000,309100000,626900000,-30400000,2025300000,3232200000,1846700000,4.16,-120400000,960200000,429200000,,304300000,72280285,1827400000,,6200000,4.21,4148800000,7700000,3663200000,7411300000,-100200000,222000000,-505100000,122800000,565000000,1151300000,-51200000,1662200000,,2576200000,626500000,302200000,656000000,47500000,735800000,,0,13000000,122800000,-104700000,73120918,122800000,-1500000,,,
2017-12-31,122800000,73900000,3051300000,-119700000,88700000,3063600000,-1407300000,613400000,-192600000,1902800000,-915300000,31600000,125700000,-37200000,-161600000,0,0,,9721000000,92000000,6933200000,594600000,-14400000,2787800000,4699700000,237400000,33400000,1726000000,-283600000,-37800000,621000000,440800000,-186600000,2121200000,3051100000,1809400000,8.34,-132000000,1087300000,583800000,,613400000,72850356,1842600000,,0,8.42,4667100000,7700000,4144100000,7751000000,-198100000,218400000,-179400000,154400000,666600000,1112100000,-8900000,1656300000,,2347400000,399000000,346700000,703700000,34200000,876100000,,-25000000,11800000,154400000,-71600000,73539424,154400000,-7600000,,,
2018-12-31,154400000,86200000,3285000000,-153300000,87200000,3272900000,-1543000000,633700000,-9100000,2091800000,-1192200000,-26200000,120300000,208800000,-239900000,,,,11534500000,65200000,8253000000,136400000,-51800000,3281500000,4759900000,424700000,45500000,1817100000,-266700000,-77600000,641800000,440100000,-88800000,2307000000,3365400000,2138500000,8.75,-145300000,1242300000,850600000,,633700000,71604520,1870800000,,,8.85,4671600000,12300000,4637900000,8044900000,-403900000,215200000,-281000000,128200000,974500000,1072000000,-37700000,1729900000,,2666300000,664600000,338800000,699100000,-10600000,1152000000,,-484900000,15900000,128200000,-102700000,72441000,128200000,7300000,,,
2019-12-31,128200000,158900000,3010200000,178100000,89300000,3680800000,-1684100000,701500000,32500000,2108200000,-1588600000,46100000,110800000,223200000,-242200000,,,,10973800000,64900000,7644400000,122200000,-21400000,3329400000,5120900000,1059300000,51200000,1645700000,279300000,-177800000,706100000,469300000,211800000,2327500000,2917000000,1523600000,,-151300000,1067800000,929300000,,701500000,,2003800000,,,,5206600000,9500000,5189500000,8131100000,-840600000,219300000,-419100000,174300000,1001900000,1031100000,86300000,1996700000,,2241700000,1301500000,275000000,675300000,-142500000,1307500000,,-50000000,12300000,,-105100000,,174300000,-7100000,,,
