date,annualOtherNonCurrentLiabilities,annualGrossPPE,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualBeginningCashPosition,annualCashFlowFromContinuingFinancingActivities,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualChangeInInventory,annualDilutedEPS,annualNetOtherFinancingCharges,annualCurrentDebt,annualCapitalExpenditure,annualOperatingExpense,annualCurrentDeferredRevenue,annualCapitalStock,annualBasicEPS,annualChangesInAccountReceivables,annualDeferredIncomeTax,annualInterestExpense,annualAccumulatedDepreciation,annualInventory,annualNonCurrentDeferredTaxesLiabilities,annualGrossProfit,annualChangeInWorkingCapital,annualNetOtherInvestingChanges,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualCommonStockIssuance,annualGoodwill,annualNetIncome,annualRetainedEarnings,annualGainsLossesNotAffectingRetainedEarnings,annualAccountsReceivable,annualTotalRevenue,annualOtherCurrentAssets,annualCostOfRevenue,annualPurchaseOfInvestment,annualAccountsPayable,annualLongTermDebt,annualCashDividendsPaid,annualPretaxIncome,annualEndCashPosition,annualInvestingCashFlow,annualTaxProvision,annualTotalAssets,annualNonCurrentDeferredRevenue,annualOperatingIncome,annualDilutedAverageShares,annualOtherNonCashItems,annualStockholdersEquity,annualCashAndCashEquivalents,annualDepreciationAndAmortization,annualIncomeTaxPayable,annualSaleOfInvestment,annualInvestmentsAndAdvances,annualBasicAverageShares,annualCurrentAccruedExpenses,annualOperatingCashFlow,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentLiabilities,annualNetPPE,annualOtherNonCurrentAssets,annualRepurchaseOfCapitalStock,annualEbitda,annualCurrentAssets,annualStockBasedCompensation,annualResearchAndDevelopment
2008-12-31,463000000,6207000000,961000000,84000000,444000000,-1629000000.0,458000000,-1558000000,2919000000,7057000000,-268000000,961000000,-97000000.0,,4.9,0.0,1355000000,-1561000000.0,2919000000,,3672000000.0,4.9,,531000000.0,,-19000000,251000000,,4960000000,-344000000,0.0,5548000000,1758000000,,,961000000,348000000.0,,1009000000.0,10608000000,6000000.0,5648000000,,1769000000,715000000,-20000000.0,1508000000,902000000,-1317000000,535000000,9649000000,,2041000000,196876196,319000000.0,4020000000,36000000,1289000000,,329000000.0,7000000.0,196876196,,3319000000,,1485000000,772000000,1089000000.0,1125000000,4063000000,6188000000,3000000,,3330000000,2592000000,,
2009-12-31,560000000,28140000000,1405000000,125000000,371000000,-2020000000.0,902000000,-1686000000,3365000000,7690000000,-512000000,1420000000,,-38000000.0,7.15,-8000000.0,763000000,-1491000000.0,3365000000,,984000000.0,7.15,-281000000.0,167000000.0,158000000.0,-21301000000,243000000,,6127000000,-205000000,0.0,5105000000,1797000000,,,1405000000,1658000000.0,106000000.0,1163000000.0,12226000000,7000000.0,6099000000,,2212000000,82000000,-19000000.0,2217000000,1273000000,-1231000000,797000000,10633000000,,2762000000,196876196,435000000.0,5436000000,62000000,1138000000,769000000.0,245000000.0,1000000.0,196876196,,3288000000,194000000.0,936000000,773000000,1227000000.0,1289000000,4169000000,6839000000,3000000,,3513000000,2943000000,,
2010-12-31,736000000,30223000000,1821000000,118000000,112000000,-968000000.0,1273000000,-1821000000,4123000000,8350000000,-423000000,1840000000,,-241000000.0,9.85,0.0,42000000,-1830000000.0,4123000000,41000000.0,3672000000.0,9.85,-405000000.0,3000000.0,90000000.0,-22744000000,437000000,247000000.0,7324000000,-11000000,15000000.0,5601000000,1908000000,,,1821000000,2066000000.0,387000000.0,1449000000.0,14679000000,7000000.0,7355000000,,2908000000,121000000,-1053000000.0,2850000000,1385000000,-1805000000,1010000000,11964000000,185000000.0,3201000000,196876196,453000000.0,6237000000,119000000,1354000000,491000000.0,15000000.0,1000000.0,196876196,2000000.0,3738000000,586000000.0,1121000000,769000000,1268000000.0,1387000000,4480000000,7479000000,3000000,,4294000000,3614000000,,
2011-12-31,1053000000,32019000000,2422000000,236000000,1442000000,-114000000.0,1376000000,-965000000,5476000000,9365000000,-483000000,2450000000,,-101000000.0,12.75,-14000000.0,19000000,-3079000000.0,5476000000,292000000.0,3672000000.0,12.75,-516000000.0,,25000000.0,-23772000000,536000000,210000000.0,9516000000,16000000,20000000.0,6835000000,2317000000,,,2422000000,3852000000.0,497000000.0,1790000000.0,18525000000,3640000000.0,9009000000,,3635000000,115000000,-915000000.0,3774000000,2818000000,-3020000000,1324000000,14795000000,307000000.0,4040000000,196876196,1606000000.0,7786000000,2818000000,1556000000,605000000.0,,1000000.0,196876196,2000000.0,5396000000,376000000.0,1347000000,1488000000,0.0,2818000000,5488000000,9260000000,105000000,,3799000000,5430000000,,
2012-12-31,13000000,9049000000,2685000000,40000000,342000000,-63000000.0,2818000000,-859000000,3154000000,10823000000,-407000000,2732000000,,-108000000.0,13.65,-13000000.0,43000000,-3326000000.0,8666000000,362000000.0,3672000000.0,13.65,-654000000.0,1463000000.0,111000000.0,-14000000,633000000,220000000.0,12989000000,-730000000,-632000000.0,7651000000,1703000000,,,2685000000,3055000000.0,3232000000.0,2181000000.0,22117000000,0.0,9128000000,-632000000.0,3659000000,101000000,-830000000.0,4195000000,3160000000,-3945000000,1463000000,17809000000,329000000.0,4323000000,196876196,-104000000.0,9959000000,3160000000,2612000000,458000000.0,,70000000.0,196876196,3000000.0,5029000000,169000000.0,1768000000,1514000000,563000000.0,3723000000,5883000000,9035000000,22000000,,6918000000,6986000000,,
2013-12-31,4000000,11403000000,3202000000,29000000,2064000000,-157000000.0,3160000000,-1407000000,3566000000,13379000000,-665000000,3254000000,,-251000000.0,16.35,-477000000.0,15000000,-4198000000.0,9880000000,423000000.0,3615000000.0,16.35,-1065000000.0,1792000000.0,111000000.0,-177000000,772000000,126000000.0,14955000000,-25000000,283000000.0,11079000000,2941000000,,,3202000000,3202000000.0,5180000000.0,3225000000.0,27287000000,0.0,12332000000,,5906000000,220000000,-981000000.0,5046000000,5224000000,-3894000000,1792000000,23130000000,453000000.0,5075000000,195787816,-199000000.0,11783000000,5224000000,2873000000,801000000.0,283000000.0,243000000.0,195787816,5000000.0,7139000000,1411000000.0,2029000000,1519000000,123000000.0,5347000000,9050000000,11226000000,37000000,-461000000.0,8030000000,9751000000,,
2014-12-31,76000000,44910000000,3673000000,47000000,-4540000000,-12000000.0,5224000000,-1340000000,3286000000,19924000000,-458000000,3729000000,,-50000000.0,18.95,-29000000.0,179000000,-9104000000.0,11381000000,507000000.0,3615000000.0,18.95,-1646000000.0,1967000000.0,148000000.0,-31101000000,721000000,417000000.0,17264000000,-1468000000,0.0,11548000000,-3383000000,,,3673000000,3673000000.0,7180000000.0,4124000000.0,33341000000,0.0,16077000000,-339000000.0,6072000000,254000000,-1299000000.0,5696000000,684000000,-9426000000,1967000000,26317000000,465000000.0,5883000000,193831921,-465000000.0,14418000000,825000000,3243000000,247000000.0,,300000000.0,193831921,17000000.0,5721000000,-408000000.0,2451000000,5331000000,53000000.0,878000000,9097000000,13809000000,28000000,0.0,9087000000,6393000000,,
2015-12-31,101000000,52801000000,3403000000,53000000,186000000,-502000000.0,684000000,2950000000,4007000000,26973000000,-763000000,3435000000,,-1522000000.0,17.55,-471000000.0,3451000000,-8714000000.0,14311000000,477000000.0,3615000000.0,17.55,-2364000000.0,1692000000.0,2209000000.0,-34838000000,2193000000,550000000.0,21303000000,-3182000000,0.0,20855000000,-1902000000,,,3403000000,3403000000.0,10580000000.0,5663000000.0,40496000000,5000000.0,19193000000,-976000000.0,9873000000,1449000000,-849000000.0,5127000000,870000000,-9651000000,1692000000,38465000000,457000000.0,6992000000,193831921,783000000.0,17194000000,870000000,4438000000,439000000.0,,332000000.0,193831921,112000000.0,6812000000,1368000000.0,3941000000,7659000000,1430000000.0,2300000000,16914000000,17963000000,32000000,0.0,11774000000,11492000000,,
2016-12-31,6000000,23515000000,3975000000,25000000,3075000000,-4509000000.0,870000000,2828000000,6315000000,32352000000,-2367000000,4005000000,,837000000.0,20.5,-1573000000.0,3266000000,-11339000000.0,18740000000,443000000.0,3615000000.0,20.5,-2773000000.0,1594000000.0,1895000000.0,-350000000,1278000000,569000000.0,28239000000,-2839000000,0.0,28036000000,26000000,,,3975000000,3975000000.0,12150000000.0,7577000000.0,53240000000,0.0,25001000000,-20000000.0,8594000000,8646000000,-2000000000.0,5599000000,3945000000,-11340000000,1594000000,47914000000,445000000.0,9499000000,193831921,1721000000.0,19336000000,3945000000,6198000000,724000000.0,,347000000.0,193831921,1654000000.0,11365000000,-1391000000.0,11525000000,7592000000,1751000000.0,5696000000,16511000000,23165000000,33000000,,13692000000,15562000000,,
2017-12-31,220000000,74162000000,7630000000,85000000,-1114000000,-3834000000.0,3945000000,-6296000000,4849000000,39350000000,-1339000000,7724000000,-4000000.0,-618000000.0,39.35,-848000000.0,3194000000,-11698000000.0,21621000000,515000000.0,3615000000.0,39.35,-2072000000.0,3902000000.0,1297000000.0,-45624000000,1854000000,48000000.0,35162000000,-1271000000,-4000000.0,33709000000,7634000000,,2000000.0,7630000000,7630000000.0,12248000000.0,8636000000.0,65186000000,0.0,30024000000,-2627000000.0,11483000000,9041000000,-4192000000.0,11626000000,2831000000,-14294000000,3902000000,57588000000,425000000.0,13541000000,193831921,1165000000.0,23086000000,2831000000,6928000000,2748000000.0,,2658000000.0,193831921,2051000000.0,19332000000,1067000000.0,11722000000,7098000000,3486000000.0,6317000000,21987000000,28538000000,53000000,,19851000000,18238000000,,
2018-12-31,660000000,201245000000,5294000000,382000000,-3456000000,-8236000000.0,6517000000,-14597000000,14531000000,338251000000,-17326000000,5536000000,-244000000.0,-11000000.0,12.3,,20044000000,-42480000000.0,71251000000,1108000000.0,45303000000.0,12.3,-4092000000.0,-2838000000.0,5146000000.0,-50769000000,2737000000,24542000000.0,94389000000,-8188000000,,142825000000,-54000000,,120449000000.0,5294000000,26918000000.0,28106000000.0,92000000.0,168046000000,,73657000000,,22286000000,59268000000,-34130000000.0,2698000000,6891000000,-31285000000,-2838000000,371738000000,254000000.0,23138000000,430737602,14775000000.0,225686000000,6891000000,33021000000,12000000.0,7197000000.0,5595000000.0,430737602,3675000000.0,42426000000,885000000.0,89380000000,59870000000,1371000000.0,8262000000,53445000000,150476000000,92000000,,42955000000,33487000000,,
