date,annualCashAndCashEquivalents,annualNetOtherFinancingCharges,annualInvestmentsAndAdvances,annualTaxProvision,annualCurrentDebt,annualCurrentDeferredRevenue,annualCurrentAccruedExpenses,annualNetIncomeContinuousOperations,annualOperatingExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,annualResearchAndDevelopment,annualDeferredIncomeTax,annualChangeInAccountPayable,annualInterestExpense,annualCommonStockIssuance,annualOtherShortTermInvestments,annualRepurchaseOfCapitalStock,annualDilutedEPS,annualChangesInAccountReceivables,annualAccumulatedDepreciation,annualDilutedAverageShares,annualOtherNonCurrentAssets,annualCurrentAssets,annualChangeInWorkingCapital,annualNetIncomeCommonStockholders,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualRetainedEarnings,annualNetIncome,annualBeginningCashPosition,annualAccountsReceivable,annualBasicAverageShares,annualCostOfRevenue,annualFreeCashFlow,annualSellingGeneralAndAdministration,annualLongTermDebt,annualTotalNonCurrentAssets,annualOtherCurrentAssets,annualOtherNonCashItems,annualDepreciationAndAmortization,annualStockholdersEquity,annualChangeInInventory,annualStockBasedCompensation,annualSaleOfInvestment,annualCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,annualOperatingCashFlow,annualCapitalStock,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualNonCurrentDeferredTaxesLiabilities,annualInventory,annualGrossProfit,annualCurrentLiabilities,annualNetPPE,annualEbitda,annualGrossPPE,annualOtherCurrentLiabilities,annualOtherNonCurrentLiabilities,annualNetOtherInvestingChanges,annualGoodwill,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualPurchaseOfInvestment,annualGainsLossesNotAffectingRetainedEarnings,annualAccountsPayable,annualOperatingIncome,annualCapitalExpenditure,annualInvestingCashFlow,annualPretaxIncome,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,annualBasicEPS,annualEndCashPosition,annualOtherIncomeExpense,annualCashDividendsPaid
2000-12-31,24815000,0,,40289000,226000.0,,,71622000,125981000,721000,481569000,26746000.0,-6076000.0,,1120000.0,7292000.0,131899000.0,-55505000.0,1.022222,,-42692000,70098750,9813000,303686000,43582000,71622000,418896000,47608000,361026000,71622000,38501000,,69277500,235852000,124973000,81900000,513000.0,115210000,6179000.0,,17335000,371288000,-7179000,,,-48675000,,133921000,315000.0,63810000.0,156714000,,56852000,245717000,46887000,41587000,137071000,84279000,22823000.0,208000.0,0.0,,-13686000,,,-3416000.0,23838000,119736000,-8948000,-97424000,111911000,,,1.035556,24815000,-6705000,
2001-12-31,26328000,-1000,,34610000,300000.0,,14993000.0,61529000,115596000,721000,450008000,28184000.0,2873000.0,,231000.0,8895000.0,223021000.0,,0.884444,,-50891000,69482250,14146000,364338000,-68323000,61529000,479556000,34549000,422555000,61529000,13776000,67160000.0,68951250,240115000,4463000,82179000,,115218000,0.0,,14482000,445007000,17284000,,,8863000,,14076000,315000.0,26693000.0,249349000,,39923000,209893000,33828000,40742000,108779000,91633000,4121000.0,313000.0,0.0,32735000.0,12552000,,,-1393000.0,14414000,94297000,-9613000,-9613000,96139000,,,0.893333,26328000,2073000,
2002-12-31,18418000,0,,39288000,420000.0,,17661000.0,71595000,125569000,2029000,475611000,29210000.0,-616000.0,,319000.0,13106000.0,330159000.0,,1.017778,,-61147000,70346250,9313000,464580000,-101266000,71595000,573088000,38933000,494150000,71595000,26328000,71299000.0,69711750,244864000,-21874000,94865000,,108508000,0.0,,13619000,534155000,2922000,,,13032000,,-13393000,315000.0,58011000.0,348577000,,38066000,230747000,36904000,39462000,118797000,100609000,3376000.0,1424000.0,0.0,,-7910000,,,-28000.0,15447000,105178000,-8481000,-8481000,110883000,,,1.026667,18418000,6024000,
2003-12-31,14266000,-142000,,44296000,153000.0,,26938000.0,91696000,143158000,4094000,536397000,31759000.0,-697000.0,,154000.0,17762000.0,435698000.0,,1.28,,-71071000,71494500,8610000,583534000,-3739000,91696000,701611000,49696000,585846000,91696000,18418000,81867000.0,70647000,263320000,96112000,108527000,,118077000,0.0,,11580000,651915000,-1659000,,951702000.0,17420000,,104519000,474000.0,70181000.0,449964000,723000.0,42781000,273077000,45602000,39286000,141499000,110357000,2273000.0,2919000.0,0.0,,-4152000,,-1057241000.0,3429000.0,16238000,129919000,-8407000,-127626000,135992000,,,1.3,14266000,4995000,
2004-12-31,17983000,-238000,,63905000,54000.0,,29248000.0,120643000,167921000,4992000,663054000,37093000.0,-2358000.0,,44000.0,15531000.0,540010000.0,,1.66,,-78932000,72539000,22991000,724638000,-26271000,120643000,862222000,64568000,706489000,120643000,14266000,96881000.0,71556000,319895000,95013000,126159000,,137584000,0.0,,12255000,797654000,-15456000,,1180960000.0,14859000,,111256000,718000.0,68310000.0,557993000,417000.0,59255000,343159000,59576000,46283000,187493000,125215000,6144000.0,4458000.0,0.0,,3717000,,-1287388000.0,6267000.0,24130000,175238000,-16243000,-122671000,184548000,,,1.69,17983000,7254000,
2005-12-31,25621000,0,,56862000,,,28928000.0,111603000,199970000,7337000,702271000,46000000.0,-834000.0,,79000.0,11753000.0,518618000.0,-70421000.0,1.55,,-81232000,72022000,41743000,732714000,-35098000,111603000,912199000,61685000,818092000,111603000,17983000,111551000.0,71364000,348090000,78304000,149617000,,179485000,0.0,,13104000,850514000,-6204000,,1033177000.0,-58839000,,92590000,722000.0,88099000.0,544239000,1242000.0,63638000,354181000,54348000,49643000,167315000,130875000,535000.0,6095000.0,-13754000.0,,7638000,,-1021813000.0,2377000.0,24885000,154211000,-14286000,-24333000,168465000,,,1.56,25621000,12321000,
2006-12-31,41014000,1514000,,32015000,,,43191000.0,69627000,277991000,10607000,759524000,48959000.0,-6737000.0,,252000.0,10402000.0,219930000.0,-68221000.0,1.0,,-93491000,70956000,309365000,479690000,-8742000,70946000,963142000,85461000,850399000,70946000,25621000,122540000.0,70516000,401104000,50964000,159444000,,483452000,0.0,17250000.0,16087000,877681000,-13430000,,1131915000.0,-56305000,,88252000,722000.0,34025000.0,260944000,,81190000,358420000,74854000,57431000,96516000,150922000,2683000.0,,0.0,70714000.0,15393000,,-1110472000.0,6812000.0,28980000,80429000,-37288000,-18526000,101642000,,,1.01,41014000,-44470000,
2007-12-31,38211000,921000,,57262000,,9633000.0,69437000.0,110113000,272080000,9413000,868279000,57600000.0,-5477000.0,,44000.0,8375000.0,98438000.0,-112094000.0,1.6,,-105102000,68908000,151419000,420832000,10583000,110113000,1034278000,131585000,960512000,110113000,39648000,150775000.0,68463000,451161000,131250000,203352000,,613446000,0.0,14146000.0,26902000,902693000,-134000,,1281979000.0,-102798000,,158120000,722000.0,119424000.0,136649000,,85038000,417118000,122172000,67686000,171940000,172788000,751000.0,,0.0,246510000.0,-1437000,,-1025089000.0,4995000.0,42351000,145038000,-26870000,-56741000,167375000,,,1.61,38211000,22381000,
2008-12-31,33267000,7337000,104326000.0,26508000,,18366000.0,67911000.0,-38421000,494651000,15153000,976700000,85120000.0,-23138000.0,17900000.0,,,85654000.0,-157582000.0,-0.6,-33754000.0,-109069000,64524000,5405000,396818000,-23065000,-38421000,850878000,140140000,922091000,-38421000,38211000,152679000.0,64524000,497395000,82966000,218649000,,454060000,0.0,-1121000.0,38581000,710738000,-26222000,14962000.0,795664000.0,-150245000,-18588000.0,125206000,722000.0,66359000.0,118921000,,100199000,479305000,124987000,75363000,23235000,184432000,0.0,10250000.0,14796000.0,151356000.0,-4944000,,-723791000.0,-12789000.0,38152000,-15346000,-42240000,25841000,-11913000,4903000.0,558000.0,-0.6,33267000,3433000,
2009-12-31,38943000,13000,91989000.0,23419000,,24082000.0,52591000.0,47104000,280786000,13540000,803585000,85089000.0,16247000.0,-16105000.0,,,114064000.0,-65445000.0,0.79,8747000.0,-117891000,59425000,4915000,410937000,-2734000,47104000,830479000,118350000,969195000,47104000,33267000,150992000.0,59306000,442864000,80383000,185231000,,419542000,0.0,11339000.0,32913000,712129000,22315000,11467000.0,313956000.0,-60460000,0.0,105698000,722000.0,55982000.0,153007000,,79926000,360721000,104810000,77589000,112848000,195480000,0.0,9432000.0,0.0,153225000.0,5676000,,-329292000.0,-8061000.0,28137000,79935000,-25315000,-40651000,70523000,4108000.0,0.0,0.79,38943000,-9412000,
2010-12-31,47476000,244000,85478000.0,43157000,,26757000.0,68090000.0,101778000,313902000,12781000,956848000,101930000.0,6361000.0,6619000.0,,,125567000.0,-102091000.0,1.77,-4603000.0,-134786000,57428000,5206000,476535000,-10458000,101778000,878864000,148832000,1070973000,101778000,38943000,154146000.0,57143000,495979000,106241000,202399000,,402329000,0.0,11627000.0,31209000,730032000,-33884000,11871000.0,376693000.0,-92872000,0.0,140459000,722000.0,49706000.0,173043000,,113742000,460869000,136051000,88983000,178176000,223769000,0.0,10375000.0,0.0,151933000.0,8533000,,-382091000.0,-9349000.0,35304000,146967000,-34218000,-39616000,144935000,2406000.0,5900000.0,1.78,47476000,-2032000,
2011-12-31,36353000,1392000,107879000.0,49376000,,11089000.0,64612000.0,130343000,302692000,13107000,983488000,89926000.0,10796000.0,-5439000.0,,,182398000.0,-160200000.0,3.22,-3269000.0,-146007000,54191000,4196000,584873000,-74279000,174643000,899006000,122081000,1245616000,174643000,47476000,155230000.0,53854000,496719000,51471000,209446000,,314133000,0.0,174643000.0,24000000,776925000,-19545000,14095000.0,911797000.0,-145799000,,79621000,722000.0,12667000.0,218751000,,133288000,486769000,108974000,97822000,208077000,243829000,0.0,11515000.0,0.0,79703000.0,-11123000,,-991633000.0,-4213000.0,33273000,184077000,-28150000,53220000,179719000,1592000.0,0.0,3.24,36353000,-6302000,
2012-12-31,64740000,1578000,5195000.0,42277000,,13326000.0,57234000.0,121897000,314110000,15532000,996168000,87364000.0,8067000.0,-14605000.0,,,324140000.0,-54373000.0,2.37,-8647000.0,-166716000,51843000,13646000,710863000,4539000,122904000,967748000,110746000,1368520000,122904000,36418000,168732000.0,51566000,504524000,157388000,222073000,,256885000,0.0,-7536000.0,26177000,857002000,11530000,14727000.0,309438000.0,-49434000,-59876000.0,183331000,722000.0,39151000.0,388880000,,123357000,491644000,95214000,101349000,203711000,268065000,0.0,14229000.0,0.0,94942000.0,28322000,,-356734000.0,-10325000.0,23045000,177534000,-25943000,-105535000,164174000,14229000.0,1609000.0,2.38,64740000,-13360000,
2013-12-31,62827000,4277000,2588000.0,29602000,,15506000.0,61962000.0,134225000,332766000,42100000,1038159000,91147000.0,7929000.0,7544000.0,,,350380000.0,-63102000.0,2.63,-6488000.0,-186080000,51063000,28765000,754103000,11514000,134358000,1119812000,161154000,1502878000,134358000,64740000,176917000.0,50693000,534549000,173055000,234236000,,365709000,0.0,-54000.0,32110000,958658000,2743000,13109000.0,386194000.0,-44173000,-95328000.0,194766000,722000.0,68968000.0,413207000,25492000.0,121023000,503610000,119054000,109588000,202954000,295668000,0.0,15477000.0,0.0,155800000.0,-1913000,,-422304000.0,-9781000.0,34688000,170844000,-21711000,-153149000,163827000,,6898000.0,2.65,62827000,-7017000,
2014-12-31,393950000,-18346000,51998000.0,-15800000,7522000.0,196213000.0,421070000.0,32429000,556717000,3573096000,1670572000,151103000.0,-44340000.0,62188000.0,56836000.0,,24385000.0,0.0,0.63,-69628000.0,-192781000,51380000,98917000,1672050000,146213000,32429000,5568851000,4528943000,1535307000,32429000,62827000,670402000.0,50789000,892547000,209034000,351518000,3182962000.0,3896801000,0.0,2113000.0,81371000,1039908000,-2398000,19891000.0,980707000.0,3192234000,-3398600000.0,240325000,722000.0,1029293000.0,418335000,199853000.0,394176000,778025000,955847000,255092000,302679000,447873000,0.0,74434000.0,0.0,2489510000.0,331123000,,-654152000.0,-8547000.0,326524000,221308000,-31291000,-3103336000,16629000,115847000.0,4518000.0,0.83,393950000,-147843000,
2015-12-31,192394000,-1435000,40000000.0,-26290000,24000.0,197891000.0,358663000.0,-137333000,1408005000,3235155000,3651972000,394111000.0,-123504000.0,-29322000.0,,,0.0,,-2.69,-6447000.0,-256000000,50996000,92030000,1332441000,-2736000,-137333000,5024470000,4111601000,1397974000,-137333000,393950000,674336000.0,50996000,2007739000,-11675000,763025000,3012212000.0,3692029000,0.0,28667000.0,319879000,912869000,-9826000,31470000.0,27891000.0,-149170000,-51889000.0,102579000,722000.0,757524000.0,192394000,1067000.0,393848000,1644233000,876446000,297601000,556107000,554000000,0.0,98461000.0,0.0,2493265000.0,-201556000,-165000000.0,-1074000.0,-48669000.0,289349000,236228000,-114254000,-139326000,-163623000,123415000.0,30519000.0,-2.69,192394000,-205893000,
2016-12-31,156000000,-5000000,,8000000,,191000000.0,323000000.0,-137000000,1356000000,2891000000,3574000000,376000000.0,-44000000.0,125000000.0,,,,,-2.65,34000000.0,-306000000,51579112,67000000,1222000000,130000000,-137000000,4632000000,3840000000,1240000000,-137000000,192000000,625000000.0,51579112,1932000000,295000000,751000000,2648000000.0,3410000000,41000000.0,26000000.0,304000000,792000000,34000000,27000000.0,0.0,-376000000,0.0,372000000,1000000.0,480000000.0,156000000,3000000.0,345000000,1642000000,949000000,292000000,590000000,598000000,0.0,116000000.0,0.0,2458000000.0,-36000000,-484000000.0,-1000000.0,-45000000.0,413000000,286000000,-77000000,-39000000,-129000000,124000000.0,22000000.0,-2.65,156000000,-222000000,
2017-12-31,62000000,-75000000,,71000000,51000000.0,186000000.0,337000000.0,17000000,1322000000,2441000000,3722000000,389000000.0,-9000000.0,-40000000.0,,,,,0.32,161000000.0,-377000000,53688832,65000000,1063000000,66000000,17000000,4275000000,3441000000,1248000000,17000000,156000000,479000000.0,53021761,2012000000,428000000,749000000,2176000000.0,3212000000,24000000.0,42000000.0,263000000,834000000,-110000000,35000000.0,,-517000000,,478000000,1000000.0,299000000.0,62000000,,458000000,1710000000,1000000000,264000000,651000000,641000000,0.0,117000000.0,,2465000000.0,-94000000,-1825000000.0,-1000000.0,-52000000.0,383000000,388000000,-50000000,-51000000,88000000,148000000.0,43000000.0,0.33,62000000,-73000000,
2018-12-31,44000000,-14000000,,103000000,157000000.0,210000000.0,322000000.0,421000000,1352000000,1703000000,4218000000,444000000.0,2000000.0,122000000.0,,,,,7.76,-31000000.0,-297000000,54252577,87000000,1162000000,140000000,421000000,4339000000,3004000000,1688000000,421000000,62000000,520000000.0,53562341,2237000000,721000000,811000000,1434000000.0,3177000000,,19000000.0,175000000,1335000000,-43000000,45000000.0,2000000.0,-661000000,-72000000.0,785000000,1000000.0,232000000.0,44000000,8000000.0,520000000,1981000000,1301000000,249000000,804000000,546000000,,89000000.0,,2495000000.0,-18000000,-1566000000.0,-3000000.0,-35000000.0,552000000,629000000,-64000000,-137000000,524000000,172000000.0,60000000.0,7.86,44000000,-14000000,
